post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,notes,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score
DRM_001,DRM Lebanon,state,Facebook,2026-05-06,2026-04-01 to 2026-05-06,,Arabic,no,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_002,DRM Lebanon,state,Facebook,2026-05-04,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_003,DRM Lebanon,state,Facebook,2026-04-30,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_004,DRM Lebanon,state,Facebook,2026-04-29,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_005,DRM Lebanon,state,Facebook,2026-04-28,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_006,DRM Lebanon,state,Facebook,2026-04-27,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_007,DRM Lebanon,state,Facebook,2026-04-24,2026-04-01 to 2026-05-06,,Arabic,yes,"Grand Serail, Ministry of Social Affairs",Daily situation report. Co-tagged with Ministry of Social Affairs. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_008,DRM Lebanon,state,Facebook,2026-04-23,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_009,DRM Lebanon,state,Facebook,2026-04-22,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_010,DRM Lebanon,state,Facebook,2026-04-21,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_011,DRM Lebanon,state,Facebook,2026-04-20,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_012,DRM Lebanon,state,Facebook,2026-04-17,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_013,DRM Lebanon,state,Facebook,2026-04-17,2026-04-01 to 2026-05-06,,Arabic,no,none,UXO warning. Clear instructions (do not approach / do not touch / report immediately). No location or contact channel provided.,yes,public safety / unexploded ordnance,warning / alert,no,yes,no,yes,no,2
DRM_014,DRM Lebanon,state,Facebook,2026-04-16,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_015,DRM Lebanon,state,Facebook,2026-04-15,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_016,DRM Lebanon,state,Facebook,2026-04-14,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_017,DRM Lebanon,state,Facebook,2026-04-13,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_018,DRM Lebanon,state,Facebook,2026-04-12,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_019,DRM Lebanon,state,Facebook,2026-04-11,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_020,DRM Lebanon,state,Facebook,2026-04-10,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_021,DRM Lebanon,state,Facebook,2026-04-09,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_022,DRM Lebanon,state,Facebook,2026-04-09,2026-04-01 to 2026-05-06,,Arabic,no,none,Emergency guidance for people who find a missing child. Action implied by framing. Instructions likely in attached image. No contact channel visible in text.,yes,missing persons / child protection,service announcement,no,yes,no,no,yes,2
DRM_023,DRM Lebanon,state,Facebook,2026-04-08,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_024,DRM Lebanon,state,Facebook,2026-04-08,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Highest actionability in DRM dataset. Location (Beirut). Clear action (call). Hotlines listed in post (truncated in scrape). Time relevance (after recent strikes). Target group (families of missing persons).,yes,missing persons / emergency response,hotline / contact guidance,yes,yes,yes,yes,yes,5
DRM_025,DRM Lebanon,state,Facebook,2026-04-07,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_026,DRM Lebanon,state,Facebook,2026-04-06,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
DRM_027,DRM Lebanon,state,Facebook,2026-04-05,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,Daily situation report. Documents crisis conditions. No citizen instructions.,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1
